"Crop","GCM","Has","prod","yield"
"Oil palm","ACCESS-ESM1-5",378295.703216375,276773.16,0.731631783408583
"Oil palm","AWI-CM-1-1-MR",376329.824489198,276773.16,0.735453695108197
"Oil palm","BCC-CSM2-MR",371799.06343773,276773.16,0.74441596877867
"Oil palm","CMCC-ESM2",383714.99110895,276773.16,0.721298793148831
"Oil palm","CNRM-CM6-1",382530.967775726,276773.16,0.723531382594544
"Oil palm","CNRM-CM6-1-HR",382530.967775726,276773.16,0.723531382594544
"Oil palm","CNRM-ESM2-1",381233.33786828,276773.16,0.725994115697268
"Oil palm","CanESM5",383307.302178973,276773.16,0.722065972723811
"Oil palm","CanESM5-CanOE",383307.302178973,276773.16,0.722065972723811
"Oil palm","EC-Earth3-Veg",373973.52033437,276773.16,0.740087586288294
"Oil palm","EC-Earth3-Veg-LR",373973.52033437,276773.16,0.740087586288294
"Oil palm","GFDL-ESM4",384956.23020601,276773.16,0.718973063124304
"Oil palm","GISS-E2-1-G",381704.175149596,276773.16,0.725098592100881
"Oil palm","GISS-E2-1-H",384148.464260972,276773.16,0.720484879543794
"Oil palm","INM-CM4-8",374594.905345296,276773.16,0.738859915205934
"Oil palm","INM-CM5-0",380637.919531314,276773.16,0.727129762428283
"Oil palm","IPSL-CM6A-LR",383937.760940887,276773.16,0.720880278412139
"Oil palm","MIROC-ES2L",385145.623731989,276773.16,0.718619511545061
"Oil palm","MIROC6",381230.574636247,276773.16,0.72599937784131
"Oil palm","MPI-ESM1-2-HR",373833.103296909,276773.16,0.7403655737255
"Oil palm","MPI-ESM1-2-LR",370709.734654997,276773.16,0.746603431543498
"Oil palm","MRI-ESM2-0",383541.998686112,276773.16,0.721624127078998
"Oil palm","UKESM1-0-LL",385340.196943501,276773.16,0.718256652680802
"Rubber","ACCESS-CM2",66673.6748309787,70900,1.06338821401003
"Rubber","ACCESS-ESM1-5",68102.3517518491,70900,1.04108005342231
"Rubber","AWI-CM-1-1-MR",66358.8153680991,70900,1.06843378090327
"Rubber","BCC-CSM2-MR",68220.2708140667,70900,1.03928054160378
"Rubber","CMCC-ESM2",67827.6507675331,70900,1.04529641226993
"Rubber","CNRM-CM6-1",66703.4142429885,70900,1.06291410724081
"Rubber","CNRM-CM6-1-HR",66703.4142429885,70900,1.06291410724081
"Rubber","CNRM-ESM2-1",67401.2843371761,70900,1.05190873879081
"Rubber","CanESM5",65745.4007020761,70900,1.07840243184891
"Rubber","CanESM5-CanOE",65745.4007020761,70900,1.07840243184891
"Rubber","EC-Earth3-Veg",65874.2449079211,70900,1.07629317192332
"Rubber","EC-Earth3-Veg-LR",65874.2449079211,70900,1.07629317192332
"Rubber","GFDL-ESM4",69979.6533300969,70900,1.01315163231178
"Rubber","GISS-E2-1-G",68437.4903468955,70900,1.03598188128499
"Rubber","GISS-E2-1-H",68424.7675239425,70900,1.03617451057019
"Rubber","INM-CM4-8",67829.960538419,70900,1.04526081745016
"Rubber","INM-CM5-0",66489.2445436548,70900,1.06633787895498
"Rubber","IPSL-CM6A-LR",67696.0121798869,70900,1.0473290481513
"Rubber","MIROC-ES2L",67206.7667272594,70900,1.05495329492235
"Rubber","MIROC6",68099.9461373445,70900,1.04111682932918
"Rubber","MPI-ESM1-2-HR",66137.3265636414,70900,1.07201188321054
"Rubber","MPI-ESM1-2-LR",65180.0172326769,70900,1.08775669308132
"Rubber","MRI-ESM2-0",69230.5535561796,70900,1.02411430153401
"Rubber","UKESM1-0-LL",65406.984182287,70900,1.08398209895145
"Shea",NA,0,33691.356,Inf
