"Crop","GCM","Impact","Has","prod","yield","low_imp","mid_imp","hig_imp","dfr_low","dfr_mid","dfr_hig"
"Cocoa","MPI-ESM1-2-LR","cope",879279.187772818,934489.586,0.537529310248207,0.483776379223387,0.456899913710976,0.430023448198566,934489.102223621,934489.129100086,934489.155976552
"Cocoa","MRI-ESM2-0","cope",1436826.15266678,934489.586,0.555634485048051,0.500071036543246,0.472289312290843,0.444507588038441,934489.085928963,934489.113710688,934489.141492412
"Cocoa","UKESM1-0-LL","cope",1360814.47049266,934489.586,0.520222469880554,0.468200222892499,0.442189099398471,0.416177975904443,934489.117799777,934489.143810901,934489.169822024
"Cashew","ACCESS-CM2","cope",105334.64706232,97794.184,0.589937256262667,0.5309435306364,0.501446667823267,0.471949805010133,97793.6530564694,97793.6825533322,97793.712050195
"Cashew","ACCESS-ESM1-5","cope",108150.533624429,97794.184,0.584604717805698,0.526144246025129,0.496914010134844,0.467683774244559,97793.657855754,97793.6870859899,97793.7163162257
"Cashew","AWI-CM-1-1-MR","cope",120382.012033243,97794.184,0.584244059423748,0.525819653481373,0.496607450510186,0.467395247538998,97793.6581803465,97793.6873925495,97793.7166047525
"Cashew","BCC-CSM2-MR","cope",115513.096185822,97794.184,0.587783119976246,0.529004807978622,0.499615651979809,0.470226495980997,97793.654995192,97793.684384348,97793.713773504
"Cashew","CanESM5-CanOE","cope",108639.242175333,97794.184,0.584904552461069,0.526414097214962,0.497168869591909,0.467923641968855,97793.6575859028,97793.6868311304,97793.716076358
"Cashew","CanESM5","cope",108639.242175333,97794.184,0.584904552461069,0.526414097214962,0.497168869591909,0.467923641968855,97793.6575859028,97793.6868311304,97793.716076358
"Cashew","CMCC-ESM2","cope",107457.170098074,97794.184,0.579211426771039,0.521290284093935,0.492329712755383,0.463369141416831,97793.6627097159,97793.6916702872,97793.7206308586
"Cashew","CNRM-CM6-1-HR","cope",112488.526353102,97794.184,0.590613896950807,0.531552507255726,0.502021812408186,0.472491117560646,97793.6524474927,97793.6819781876,97793.7115088824
