"Crop","GCM","Impact","Has"
"Cashew","MPI-ESM1-2-HR","adjust",48238.9905330501
"Cashew","MPI-ESM1-2-LR","cope",104385.908533607
"Cashew","MPI-ESM1-2-LR","adjust",64409.0218907632
"Cashew","MRI-ESM2-0","cope",110054.726189155
"Cashew","MRI-ESM2-0","adjust",54057.1000784747
"Cashew","UKESM1-0-LL","cope",108743.407418899
"Cashew","UKESM1-0-LL","adjust",55136.5968899839
"Coconut","ACCESS-CM2","cope",70650.904192741
"Coconut","ACCESS-CM2","adjust",9116.66711274907
"Coconut","ACCESS-ESM1-5","cope",53741.4180457024
"Coconut","ACCESS-ESM1-5","adjust",9554.85242945608
"Coconut","ACCESS-ESM1-5","transform",0
"Coconut","AWI-CM-1-1-MR","cope",72089.609721248
"Coconut","AWI-CM-1-1-MR","adjust",13649.4572066534
"Coconut","BCC-CSM2-MR","cope",41128.3237116383
"Coconut","BCC-CSM2-MR","adjust",16781.9778804313
"Coconut","BCC-CSM2-MR","transform",0
"Coconut","CanESM5-CanOE","cope",73809.6963753691
"Coconut","CanESM5-CanOE","adjust",20670.3623174233
"Coconut","CanESM5","cope",73809.6963753691
"Coconut","CanESM5","adjust",20670.3623174233
"Coconut","CMCC-ESM2","cope",71390.5726891439
"Coconut","CMCC-ESM2","adjust",12027.6934793787
"Coconut","CMCC-ESM2","transform",0
"Coconut","CNRM-CM6-1-HR","cope",75986.1141291158
"Coconut","CNRM-CM6-1-HR","adjust",11825.2416607346
"Coconut","CNRM-CM6-1-HR","transform",0
"Coconut","CNRM-CM6-1","cope",75986.1141291158
"Coconut","CNRM-CM6-1","adjust",11825.2416607346
"Coconut","CNRM-CM6-1","transform",0
"Coconut","CNRM-ESM2-1","cope",72463.6605135566
"Coconut","CNRM-ESM2-1","adjust",18019.3964731349
"Coconut","CNRM-ESM2-1","transform",0
"Coconut","EC-Earth3-Veg-LR","cope",56857.1722627394
"Coconut","EC-Earth3-Veg-LR","adjust",12428.1392362751
"Coconut","EC-Earth3-Veg","cope",56857.1722627394
"Coconut","EC-Earth3-Veg","adjust",12428.1392362751
"Coconut","GFDL-ESM4","cope",73444.6539852927
"Coconut","GFDL-ESM4","adjust",11719.4288264206
"Coconut","GISS-E2-1-G","cope",73057.1959383842
"Coconut","GISS-E2-1-G","adjust",25165.7610120978
"Coconut","GISS-E2-1-G","transform",0
"Coconut","GISS-E2-1-H","cope",72519.8408504399
"Coconut","GISS-E2-1-H","adjust",19229.9417017568
"Coconut","GISS-E2-1-H","transform",0
"Coconut","INM-CM4-8","cope",55851.7394135455
"Coconut","INM-CM4-8","adjust",11088.2286633002
"Coconut","INM-CM4-8","transform",0
"Coconut","INM-CM5-0","cope",73426.5376924546
"Coconut","INM-CM5-0","adjust",9600.60709536076
"Coconut","INM-CM5-0","transform",0
"Coconut","IPSL-CM6A-LR","cope",73777.9862980917
"Coconut","IPSL-CM6A-LR","adjust",10739.287546712
"Coconut","MIROC-ES2L","cope",74292.7839771518
"Coconut","MIROC-ES2L","adjust",13267.5901140319
"Coconut","MIROC-ES2L","transform",0
"Coconut","MIROC6","cope",76574.8073324487
"Coconut","MIROC6","adjust",11928.3992600804
"Coconut","MPI-ESM1-2-HR","cope",75250.3539974391
"Coconut","MPI-ESM1-2-HR","adjust",14806.414656423
"Coconut","MPI-ESM1-2-LR","cope",68721.0148467971
"Coconut","MPI-ESM1-2-LR","adjust",15350.6364749344
"Coconut","MRI-ESM2-0","cope",72073.2812586846
"Coconut","MRI-ESM2-0","adjust",18307.2305723978
"Coconut","UKESM1-0-LL","cope",72869.4301811466
"Coconut","UKESM1-0-LL","adjust",18889.2258118289
